,C3L-01637-02,C3L-03123-02,C3L-03356-02,C3L-03743-01,C3N-00302-02,C3N-01167-01,C3N-02754-01-3,C3N-02998-03,C3L-01453-03,C3L-03348-03,C3L-03348-03-2,C3N-03000-02
ENSG00000096696.14,15648,20595,21701,30703,8912,19953,18890,13283,17568,23043,13295,23446
ENSG00000096717.12,1200,1721,1531,1329,1312,1745,1301,2330,1045,1758,1082,1650
ENSG00000096746.17,1824,2138,2889,2482,3119,1811,1676,2575,2170,3164,1753,2531
ENSG00000096872.17,694,419,961,682,836,882,901,1002,409,1482,907,758
ENSG00000096968.14,3459,3385,3528,3207,2386,2921,3624,7947,2610,4245,2866,2028
ENSG00000096996.16,260,330,235,126,102,239,199,560,204,206,219,60
ENSG00000097007.19,1885,1844,2780,2815,2996,4143,2059,2847,2172,3401,2614,3303
ENSG00000097021.20,480,863,600,354,328,4059,218,252,496,466,316,261
ENSG00000097033.14,8168,4092,9634,8050,6295,8246,5271,6132,7894,7314,5605,7454
ENSG00000097046.13,470,434,427,363,820,682,257,581,280,355,243,358
ENSG00000097096.9,736,206,636,365,468,1303,625,512,685,663,492,521
ENSG00000099139.14,3632,1558,1601,5055,1456,4283,1643,2779,1972,1817,1396,3573
ENSG00000099194.6,12551,14943,13080,4761,15000,8233,2722,20557,2851,5626,3858,5286
ENSG00000099203.7,316,116,148,211,223,255,142,160,177,155,172,169
ENSG00000099204.20,14110,4663,17337,13359,5922,13836,10730,8584,8620,11187,6509,5565
ENSG00000099219.14,2473,1277,2711,2108,5139,1898,2223,2740,1872,3259,2191,4644
ENSG00000099246.17,4012,2593,2615,3407,2253,4923,2798,3237,3786,3680,2367,4943
ENSG00000099250.18,8603,4991,8206,9316,7847,8405,8430,10821,6243,11039,7899,9965
ENSG00000099251.14,230,343,182,156,71,379,140,171,183,228,191,158
ENSG00000099256.19,653,609,400,559,475,930,416,461,484,655,482,434
ENSG00000099260.11,472,254,850,664,1069,479,467,2468,1134,722,405,723
ENSG00000099282.10,6344,1652,5135,3858,1525,5582,1304,1389,1133,2341,1218,2049
ENSG00000099284.15,799,706,1023,872,1095,869,878,511,628,1138,821,1009
ENSG00000099290.17,2595,1833,3133,1933,1512,2492,1443,2434,1539,1840,1274,1853
ENSG00000099308.10,638,323,666,426,583,1007,546,755,462,726,507,321
ENSG00000099326.9,982,460,660,711,503,1413,812,569,889,891,784,647
ENSG00000099330.9,294,69,225,167,240,187,114,149,166,221,128,169
ENSG00000099331.13,4873,3504,4749,3743,5355,4222,2926,4936,4190,3992,3225,4362
ENSG00000099337.5,1348,585,1277,1333,1148,2503,949,643,2270,755,728,495
ENSG00000099338.23,86,94,229,136,88,194,121,75,114,204,127,90
ENSG00000099341.11,4831,3256,3005,4877,2906,6589,2689,2477,3667,4461,3304,3381
ENSG00000099364.18,589,525,650,710,400,1224,476,473,641,585,605,426
ENSG00000099365.11,36,72,77,41,28,69,82,44,73,114,130,70
ENSG00000099377.14,839,537,466,244,149,576,218,413,250,360,239,245
ENSG00000099381.18,357,315,528,481,486,623,420,436,308,607,412,460
ENSG00000099385.12,546,369,522,442,387,964,415,420,442,605,503,504
ENSG00000099399.6,5,0,0,2,0,0,0,0,0,0,0,32
ENSG00000099617.4,163,22,155,142,53,372,8,21,53,43,32,33
ENSG00000099622.14,6797,2088,5642,4623,3855,6637,5648,7310,5632,6146,5299,4607
ENSG00000099624.8,713,346,429,366,646,843,291,490,442,593,283,277
ENSG00000099625.13,13,37,18,51,43,25,29,27,18,24,24,27
ENSG00000099715.14,0,0,4,0,2,3,8,0,13,5,1,4
ENSG00000099721.14,0,0,2,0,0,0,4,0,0,1,1,0
ENSG00000099725.14,5,1,707,1,568,2,842,2,2058,911,957,1041
ENSG00000099769.6,77,33,23,27,23,85,62,13,17,122,76,16
ENSG00000099783.12,4931,3213,4413,3646,4766,5978,2584,3910,4163,4534,2919,3016
ENSG00000099785.10,1158,465,965,956,571,963,603,1038,1009,777,743,806
ENSG00000099795.7,2313,610,1068,1111,954,1835,1161,925,1122,1594,923,1287
ENSG00000099797.15,1109,546,1025,714,905,924,602,920,940,783,553,607
ENSG00000099800.8,1555,345,661,645,471,1310,575,607,647,762,557,466
ENSG00000099804.9,1182,488,678,606,719,1426,405,663,670,608,517,585
ENSG00000099810.21,1014,1012,991,2553,9671,1557,964,2507,896,1566,1083,2522
ENSG00000099812.9,4124,1269,2859,3395,1925,5850,1030,1954,576,808,568,918
ENSG00000099814.16,3276,855,2603,2125,2150,4857,1551,1052,983,1513,1356,1805
ENSG00000099817.12,2002,1272,1262,1403,1113,1687,980,1493,1331,1312,1119,1000
ENSG00000099821.14,1801,549,861,557,1174,1630,674,877,986,912,710,637
ENSG00000099822.3,15,6,19,36,40,8,24,15,22,39,24,14
ENSG00000099834.19,1074,141,259,572,355,4063,602,142,77,313,201,186
ENSG00000099840.14,145,38,84,53,44,57,66,52,108,92,55,45
ENSG00000099849.15,2694,800,1149,2342,1113,3680,1260,593,645,1609,1131,559
ENSG00000099860.9,2501,972,1673,1745,1593,2674,1428,2867,3812,1191,1068,3192
ENSG00000099864.18,268,150,425,1040,411,506,427,763,795,684,691,596
ENSG00000099866.15,19,6,42,9,19,22,76,4,5,9,13,5
ENSG00000099869.8,15,5,0,12,9,11,26,6,4,11,2,17
ENSG00000099875.15,2937,1424,2638,2047,3143,2600,1930,2560,6630,3186,2290,1508
ENSG00000099889.14,689,172,493,268,305,1171,1051,255,396,649,466,332
ENSG00000099899.15,1319,613,699,557,533,981,664,721,814,793,646,595
ENSG00000099901.17,1634,1392,1246,1048,1005,2681,867,1136,1080,1229,881,1223
ENSG00000099904.16,623,427,621,534,505,573,484,542,605,549,525,755
ENSG00000099910.17,884,513,734,646,513,960,735,746,727,891,652,658
ENSG00000099917.17,1772,1911,2064,1959,1494,2337,2086,1785,1665,1985,1512,2042
ENSG00000099937.11,52,61,71,92,75,82,136,88,62,110,71,69
ENSG00000099940.12,1053,588,1069,567,646,1199,675,799,704,993,669,622
ENSG00000099942.13,4369,3465,3378,3773,2671,5086,3293,3682,5194,4267,3451,3937
ENSG00000099949.21,666,288,660,411,403,800,480,510,588,675,520,528
ENSG00000099953.10,14468,3584,13146,11034,8577,9929,7233,1645,12149,5843,10354,43088
ENSG00000099954.18,62,12,105,44,60,41,120,96,29,282,174,105
ENSG00000099956.20,1879,1248,1662,1427,1343,2292,1028,1472,1245,1229,967,1954
ENSG00000099957.16,36,27,93,26,28,56,44,14,69,36,31,23
ENSG00000099958.15,334,100,154,30,81,165,338,149,198,63,45,86
ENSG00000099960.13,313,19,170,41,49,126,28,8,65,54,36,55
ENSG00000099968.18,2342,1911,2704,2061,1324,3545,1810,2255,1788,2619,1805,2219
ENSG00000099974.8,96,68,62,41,40,142,44,28,34,76,53,76
ENSG00000099977.14,0,0,0,0,4,0,0,0,0,1,2,0
ENSG00000099984.11,4,8,26,5,1,0,0,0,1,27,12,1
ENSG00000099985.4,634,525,71,130,372,298,39,647,235,75,125,422
